"","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)"
"Guyana","33.7 [28.1-39.6]","39.5 [29.5-53.9]","32.5 [24.5-43.9]","3.4 [2.6-4.7]","23.5 [18.2-32.6]","29.2 [22.3-40.6]","75.7 [56.6-104.0]","57.7 [47.7-67.5]","54.6 [45.2-65.2]","43.8 [34.7-54.7]","23.9 [18.7-29.4]","21.9 [18.7-25.4]","21.0 [17.4-24.1]","37.0 [32.2-42.9]","73.2 [60.3-87.1]","54.2 [44.3-64.4]","51.9 [42.9-61.7]","41.2 [33.6-49.7]","51.0 [41.6-61.7]","45.0 [37.5-53.6]"
"Haiti","1.4 [1.0-1.9]","1.3 [0.9-1.7]","3.0 [1.9-4.0]","4.0 [2.7-5.4]","3.4 [2.3-4.6]","3.5 [2.3-4.8]","5.3 [3.2-8.3]","6.5 [4.0-10.2]","9.0 [5.5-14.0]","9.6 [5.5-15.4]","9.6 [5.5-15.4]","10.4 [6.1-16.2]","8.6 [5.1-13.4]","9.7 [5.6-15.5]","9.6 [5.6-15.6]","9.6 [5.6-15.5]","9.6 [5.5-15.5]","9.6 [5.5-15.6]","9.6 [5.5-15.5]","9.6 [5.4-15.5]"
"Honduras","0.05 [0.04-0.06]","0.1 [0.1-0.2]","0.2 [0.2-0.2]","0.7 [0.5-0.8]","0.6 [0.5-0.7]","0.6 [0.4-0.7]","0.9 [0.7-1.1]","1.1 [0.9-1.4]","1.3 [1.0-1.6]","1.8 [1.3-2.1]","1.7 [1.3-2.2]","1.6 [1.2-2.1]","2.1 [1.6-2.7]","2.5 [1.9-3.2]","3.5 [2.5-4.4]","3.8 [2.7-4.9]","3.2 [2.3-4.0]","4.0 [2.9-5.1]","5.8 [4.3-7.4]","8.6 [6.4-11.1]"
"India","4.3 [2.9-6.1]","5.3 [3.7-7.4]","7.4 [5.4-10.5]","10.0 [7.1-14.5]","9.7 [7.3-13.2]","9.2 [6.9-12.8]","9.1 [6.8-12.8]","11.9 [8.7-16.8]","14.8 [11.0-20.5]","17.5 [13.0-24.7]","18.1 [13.1-26.4]","17.9 [12.9-25.8]","17.3 [12.8-24.5]","18.3 [13.5-25.4]","22.7 [16.9-31.0]","21.3 [16.3-27.9]","19.5 [15.2-25.0]","18.5 [14.4-24.2]","20.0 [15.8-25.9]","19.9 [15.6-25.8]"
"Indonesia","2.4 [2.2-2.7]","2.3 [2.1-2.5]","3.0 [2.8-3.3]","4.5 [4.0-5.0]","4.4 [3.9-4.9]","5.0 [4.4-5.5]","6.6 [5.9-7.4]","7.9 [7.1-8.8]","8.0 [7.2-9.0]","8.9 [8.0-10.0]","6.6 [4.8-8.6]","6.6 [4.8-8.6]","6.6 [4.8-8.6]","6.6 [5.9-7.3]","7.9 [7.1-8.8]","5.3 [4.8-5.9]","6.6 [4.8-8.6]","6.6 [4.8-8.6]","6.6 [4.8-8.6]","6.6 [4.8-8.6]"
"Iran (Islamic Republic of)","0","0","0.073","0.1","0.208","0.453","0.613","0.98","2.142","2.452","5.836","11.338","21.572","22.085","26.627","19.632","33.876","22.647","28.452","29.426"
"Iraq","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.013","0.043","0.086","0.294","0.402","0.609"
"Kazakhstan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenya","57.0 [30.7-95.1]","60.0 [35.8-94.2]","62.2 [39.8-91.6]","64.5 [45.4-89.6]","66.0 [47.0-90.4]","66.7 [47.5-91.9]","66.8 [47.8-91.6]","64.8 [47.2-86.7]","62.8 [45.9-83.4]","61.8 [45.5-82.1]","61.1 [44.4-81.7]","65.3 [47.2-87.5]","79.4 [57.7-106.6]","103.8 [74.9-141.8]","137.8 [101.8-183.5]","179.8 [139.2-229.9]","211.3 [163.1-269.0]","224.9 [174.3-287.2]","246.2 [190.3-313.9]","221.8 [169.5-281.7]"
"Kyrgyzstan","0","0","0","0","0","0","0","0","0","0","0","0","0.024","0.079","0.057","0.024","0.12","0.705","0.01","0"
"Lao People's Democratic Republic","2.8 [2.1-3.8]","4.5 [3.3-6.0]","5.6 [4.1-7.5]","8.0 [5.9-10.7]","25.0 [18.2-33.4]","34.1 [24.9-45.2]","26.3 [19.1-34.7]","32.1 [23.3-42.3]","10.9 [7.9-14.5]","15.7 [11.1-21.2]","15.0 [10.3-20.9]","21.5 [14.3-30.5]","22.2 [14.5-32.3]","23.3 [14.8-34.8]","13.0 [8.4-19.4]","16.5 [10.5-24.8]","20.0 [12.8-30.7]","22.2 [14.7-32.5]","29.5 [19.2-43.3]","62.7 [31.0-102.5]"
